"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Notes","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","17.953","1","3","6.584","0","1.708","0","1.228","0","2","2","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","29.486","1","2","1.556","0","1.158","0","2.587","0","3","2","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","46.506","1","4","10.066","0","1.465","0","0","0","3","3","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","55.009","1","6","1.334","0","1.244","0","0.233","0","4","1","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","64.749","1","2","1.186","0","1.137","0","1.517","0","3","1","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","73.835","1","6","1.455","0","1.153","0","0.907","0","3","3","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","83.531","1","1","1.097","0","1.119","0","1.701","0","3","1","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","92.139","1","2","0.941","0","1.173","0","0.774","0","2","2","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","101.014","1","1","1.004","0","1.396","0","0.98","0","4","1","0"
"Cristina2","2/9/2023 1:22:48 PM","Chamber1 [1]","CI32202-3","TxT","Rat dPAL_2021","438","N/A","Rat dPAL_2021 vN/A","1552","ABET II Touch 22.03.22.0","100","3600","mec day 3","2023-02-09T13:22:48.186","109.204","1","2","1.737","0","1.143","0","0","0","1","1","0"
