"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","23.224","0","5","3.864","0","1.237","0","0.687","0","2","3","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","54.313","0","3","7.25","0","1.092","0","8.449","0","7","4","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","64.34","1","2","2.123","0","0.914","0","1.081","0","2","2","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","84.985","0","3","4.857","0","1.256","0","0.533","0","4","3","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","93.836","1","1","1.833","0","1.143","0","0.731","0","1","1","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","103.644","1","2","2.07","0","1.062","0","1.493","0","2","2","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","117.707","1","6","1.2","0","1.197","0","6.485","0","3","4","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","132.241","1","4","2.157","0","1.039","0","6.053","0","3","3","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","139.98","1","5","1.143","0","1.147","0","0.353","0","2","1","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","148.828","1","2","1.921","0","1.787","0","0.428","0","4","2","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","156.898","1","6","1.135","0","1.054","0","0.82","0","3","1","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","172.209","1","4","2.151","0","1.14","0","6.788","0","4","4","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","183.487","1","2","1.796","0","1.131","0","2.485","0","1","3","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","191.705","1","6","1.691","0","0.948","0","0.008","0","1","1","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","199.532","1","6","1.288","0","1.203","0","0.264","0","2","1","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","211.571","1","5","1.192","0","1.291","0","4.611","0","3","3","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","219.129","1","3","1.331","0","1.088","0","0.144","0","2","2","0"
"Cristina2","11/9/2023 2:24:08 PM","Chamber3 [3]","CI32202-3","TxT","Rat dPAL_2021","1174","N/A","Rat dPAL_2021 vN/A","1785","ABET II Touch 22.03.22.0","100","3600","2023-11-09T14:24:08.901","229.209","1","6","1.018","0","1.115","0","2.768","0","4","4","0"
