"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","25.148","1","1","15.014","0","1.073","0","0.673","0","6","3","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","76.42","0","2","15.447","0","10.402","0","20.658","0","12","8","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","116.024","0","6","7.547","0","1.489","0","16.936","0","7","2","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","154.556","1","6","11.068","0","1.966","0","11.911","0","13","5","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","186.274","1","3","24.184","0","1.169","0","0.865","0","8","7","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","202.648","1","6","4.589","0","2.871","0","4.759","0","6","1","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","248","0","4","11.9","0","1.873","0","17.942","0","12","4","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","441.264","0","5","78.433","0","1.321","0","99.546","0","16","6","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","470.008","0","5","9.678","0","9.797","0","3.211","0","5","2","0"
"Cristina3","2/21/2024 12:31:34 PM","Chamber2 [2]","CI32202-3","TxT","Rat dPAL_2021","92","N/A","Rat dPAL_2021 vN/A","1871","ABET II Touch 22.03.22.0","100","3600","2024-02-21T12:31:34.342","659.914","1","4","56.01","0","1.766","0","126.017","0","17","6","0"
