"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Notes","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","25.818","1","6","10.752","0","1.374","0","1.302","0","5","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","47.371","0","4","5.065","0","1.799","0","1.143","0","8","6","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","78.851","0","1","12.469","0","1.432","0","3.725","0","9","4","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","113.328","1","6","26.768","0","1.759","0","0.341","0","5","10","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","133.747","1","5","13.978","0","1.623","0","0","0","3","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","146.768","1","3","6.137","0","1.694","0","0","0","2","2","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","171.504","0","1","8.587","0","1.343","0","0.713","0","4","4","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","199.413","0","4","6.683","0","1.704","0","5.462","0","12","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","227.254","0","2","6.103","0","1.884","0","6.288","0","10","6","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","245.762","1","3","8.347","0","1.28","0","2.892","0","1","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","263.448","1","2","10.972","0","1.277","0","0","0","4","2","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","275.021","1","5","5.207","0","1.287","0","0","0","3","1","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","305.673","1","3","21.737","0","2.083","0","2.136","0","11","5","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","331.856","0","1","3.675","0","2.122","0","7.462","0","10","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","344.613","1","3","3.437","0","1.672","0","2.032","0","5","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","365.622","0","4","1.955","0","1.501","0","3.589","0","5","2","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","385.477","1","6","9.846","0","1.814","0","3.172","0","6","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","399.258","1","6","5.785","0","1.249","0","1.434","0","4","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","420.879","0","4","2.401","0","1.53","0","3.365","0","7","4","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","432.906","1","5","4.413","0","1.27","0","0.712","0","4","3","0"
"Cristina2","2/9/2023 1:19:40 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","437","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","100","3600","muscimol","2023-02-09T13:19:40.670","452.138","1","2","3.911","0","1.995","0","7.037","0","10","2","0"
