"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","21.725","0","4","2.812","0","1.524","0","1.303","0","5","3","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","30.979","1","6","1.924","0","1.393","0","0.55","0","1","3","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","48.379","0","5","1.386","0","1.393","0","0.548","0","5","1","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","57.861","1","5","1.725","0","1.482","0","1.018","0","2","1","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","74.787","0","3","1.351","0","1.501","0","0.53","0","5","4","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","83.241","1","2","1.289","0","1.787","0","0.323","0","3","1","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","101.474","0","4","1.455","0","1.613","0","1.672","0","4","3","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","111.669","1","3","1.785","0","1.721","0","1.702","0","3","2","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","119.753","1","1","1.169","0","1.518","0","0","0","2","1","0"
"Cristina2","4/1/2023 2:14:26 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","556","N/A","Rat dPAL_2021 vN/A","1558","ABET II Touch 22.03.22.0","100","3600","2023-04-01T14:14:26.687","128.627","1","6","1.795","0","1.704","0","0","0","5","2","0"
