"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Group ID","Max_Number_Trials","Max_Schedule_Time","Notes","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","48.845","0","1","28.778","0","2.057","0","0.628","0","3","8","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","74.692","0","4","6.46","0","1.688","0","3.86","0","3","3","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","96.062","1","6","13.172","0","2.275","0","0.78","0","3","4","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","123.047","0","3","11.751","0","2.108","0","0","0","4","3","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","155.883","0","4","6.993","0","2.891","0","10.603","0","4","3","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","177.788","0","2","6.281","0","1.807","0","0.548","0","3","2","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","195","1","6","6.151","0","4.077","0","3.938","0","2","2","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","210.171","1","6","7.738","0","2.241","0","0","0","3","1","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","227.193","1","3","9.574","0","2.771","0","0","0","4","1","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","243.479","1","2","7.591","0","3.343","0","0.039","0","3","1","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","256.662","1","5","5.301","0","2.331","0","0.475","0","2","1","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","303.103","1","4","36.829","0","4.911","0","0.43","0","3","6","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","318.505","1","1","6.381","0","2.416","0","1.164","0","2","2","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","332.901","1","4","5.014","0","2.476","0","1.536","0","3","1","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","353.902","1","1","11.837","0","1.978","0","0.326","0","3","1","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","367.983","1","2","5.736","0","2.052","0","0.834","0","3","1","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","415.992","1","5","33.454","0","2.568","0","3.984","0","4","6","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","435.857","1","6","3.208","0","1.738","0","9.226","0","4","5","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","455.796","0","1","3.924","0","2.245","0","0.46","0","3","3","0"
"Cristina2","1/30/2023 1:17:22 PM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","411","N/A","Rat dPAL_2021 vN/A","1557","ABET II Touch 22.03.22.0","1","100","3600","day 1- saline","2023-01-30T13:17:22.732","486.756","1","2","19.062","0","1.954","0","3.327","0","3","2","0"
