"Database","Date/Time","Environment","Machine Name","Analysis Name","Schedule Name","Schedule Run ID","Version","Version Name","Animal ID","Application_Version","Max_Number_Trials","Max_Schedule_Time","Schedule_Start_Time","Trial Analysis - Condition","Trial Analysis - Correct","Trial Analysis - Trial Type","Trial Analysis - Touch Latency_Duration","Trial Analysis - Touch Latency_Counts","Trial Analysis - Reward Collection Latency_Duration","Trial Analysis - Reward Collection Latency_Counts","Trial Analysis - Initiation Latency_Duration","Trial Analysis - Initiation Latency_Counts","Trial Analysis - Front Beam Break - ","Trial Analysis - Back Beam Break - ","Trial Analysis - Interruption"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","30.695","1","2","20.091","0","1.411","0","0.821","0","4","4","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","41.642","1","5","1.859","0","1.245","0","2.767","0","7","1","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","50.324","1","5","1.765","0","1.188","0","0.488","0","4","2","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","58.648","1","3","1.541","0","1.157","0","0.505","0","3","2","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","75.667","1","4","1.976","0","1.294","0","8.704","0","10","3","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","83.81","1","4","1.612","0","1.237","0","0.039","0","9","1","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","99.929","1","5","1.546","0","1.121","0","8.271","0","8","2","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","117.363","0","6","1.839","0","1.326","0","0.519","0","9","1","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","127.309","1","4","2.63","0","1.322","0","0.958","0","7","2","0"
"Cristina2","9/26/2023 10:20:43 AM","Chamber4 [4]","CI32202-3","TxT","Rat dPAL_2021","1001","N/A","Rat dPAL_2021 vN/A","1757","ABET II Touch 22.03.22.0","100","3600","2023-09-26T10:20:44.017","136.94","1","1","2.053","0","1.35","0","1.195","0","4","1","0"
